,(25/01) ¿Aprueba la moción de plantear vía votación ponderada el llamado a paralización por el 8M?,Unnamed: 20,Unnamed: 21,(17/02) ¿Aprueba la moción de plantear vía votación ponderada el llamado a marcha por el 8M con el petitorio presentado?,Unnamed: 24,Unnamed: 25,(07/03) Votación Ponderada - Moción: Paralización,Unnamed: 28,Unnamed: 29,(07/03) Votación Ponderada - Moción: Marcha,Unnamed: 32,Unnamed: 33,(21/03) ¿Aprueba la federación a la FEUC de la carrera de Medicina Veterinaria?,Unnamed: 36,Unnamed: 37,(21/03) Votación Delegatura Confech,Unnamed: 40,Unnamed: 41,Unnamed: 42,(31/03) ¿Aprueba el Petitorio Confech?,Unnamed: 45,Unnamed: 46,(04/04) Votación Ponderada. ¿Por quién vota para desempeñar el cargo de delegado/a Confech?,Unnamed: 49,Unnamed: 50,(25/04) Elección de los cuatro miembros Comisión de Seguridad en los Campus,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,(12/05) ¿Aprueba la moción de plantear vía votación ponderada el llamado a paralización por Salud Mental?,Unnamed: 60,Unnamed: 61,(12/05) ¿Aprueba la moción de plantear vía votación ponderada el llamado a movilización por Salud Mental?,Unnamed: 64,Unnamed: 65,(12/05) ¿Aprueba la moción de plantear vía votación ponderada el llamado a movilización por el Mayo Feminista?,Unnamed: 68,Unnamed: 69,(24/05) Votación Ponderada: ¿Aprueba la adhesión de la Universidad Católica a la movilización por el Mayo Feminista?,Unnamed: 72,Unnamed: 73,(24/05) ¿Aprueba la realización de iniciar un nuevo proceso electoral en Pedagogía Básica para elegir Centro de Estudiantes?,Unnamed: 76,Unnamed: 77,(09/06) Nominación de la FEUC como candidatura a Vocería Confech en Universidades Tradicionales,Unnamed: 80,Unnamed: 81,(09/06) Votación para bajar llamado a la marcha del Mes del Orgullo mediante votación ponderada,Unnamed: 84,Unnamed: 85,(09/06) Votación sobre adhesión a movilización por Educación No Sexista,Unnamed: 88,Unnamed: 89,"(09/06) Votación por solicitud de destitución de la Consejera Territorial   de Humanidades, Fernanda Vega",Unnamed: 92,Unnamed: 93
30,1,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,,,,,,,,1,,,1,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,,,1
32,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,
34,1,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,
35,1,,,1,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,
36,1,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,1
37,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,,,1,,,,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
39,1,,,,,,1,,,1,,,1,,,,1,,,1,,,1,,,,,,,1,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,,1
40,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,1,,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,1,
41,1,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,1,,,,,1,,1,,,,1
42,1,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,
43,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,1,
44,,,,,,,1,,,1,,,1,,,,,1,,,,1,1,,,,,1,,,,1,,,,,1,,,1,1,,,1,,,,,1,,,1,,,1,1,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,,,1,,,,,1,,,1,1,,,1,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
47,1,,,,1,,,,1,,,1,1,,,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,
48,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,,,,,1,,,1,,,,1,
49,1,,,,,,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
50,1,,,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,
51,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,,1
52,1,,,,1,,1,,,,,1,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,1,,,,1,,1,,
53,,,,1,,,1,,,1,,,1,,,,,1,,,1,,,1,,,,,,,,,,1,1,,,,,1,1,,,,,,1,,,,,1,,,1,1,,
54,1,,,1,,,1,,,1,,,1,,,1,,,,,1,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,
55,1,,,,1,,,,1,,,1,1,,,,,1,,,,,1,,,,,,,,,,1,,,1,,,1,,1,,,1,,,1,,,1,,,,,1,1,,
56,1,,,,1,,,1,,,1,,1,,,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,
57,,,,1,,,,,1,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,1,,
58,1,,,1,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
59,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,1
60,,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
61,,,,,1,,1,,,1,,,1,,,,,1,,,,1,1,,,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,1,,
62,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,
63,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,1,
64,1,,,,,,1,,,1,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,1,
65,1,,,,,,1,,,1,,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,,,,1,,,1,,,1,,1,,,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,,1,,
67,1,,,,,,,1,,1,,,1,,,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,
68,,1,,1,,,1,,,1,,,1,,,1,,,,,,1,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,1
69,,1,,,1,,,1,,,1,,1,,,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,1
71,1,,,,,,,1,,1,,,1,,,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,,,,,,1,,,1,,,,1,,1,,
72,1,,,,1,,1,,,,1,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,
73,1,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,1,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
74,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,1,
75,1,,,1,,,1,,,1,,,1,,,1,,,,,1,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
76,1,,,,1,,1,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,,
77,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,,1,,,1,,,1,,,1,,,,,1,1,,,1,,,1,,,1,,,,1,
78,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,,1,,,,,,,,,,,,,,
79,1,,,,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,
80,1,,,,,,1,,,1,,,1,,,1,,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
81,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,,1
82,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,,,,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
83,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
84,,,,,,,1,,,1,,,1,,,,,1,,,1,,1,,,,,1,,,,,1,,,1,,,1,,1,,,1,,,1,,,1,,,,,1,,,1
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,1
87,1,,,1,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,,1
88,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,1,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,1
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
90,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,,,1,,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,1
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
95,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
96,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
97,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
98,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
100,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
101,64,4,1,49,10,0,33,5,4,33,4,5,72,0,0,33,11,21,4,33,21,13,25,15,11,11,10,13,9,12,1,43,11,4,46,10,2,45,10,3,30,7,11,55,0,0,63,1,3,65,0,4,47,14,8,22,28,17
102,0.927536231884058,0.057971014492753624,0.014492753623188406,0.8305084745762712,0.1694915254237288,0,0.7857142857142857,0.11904761904761904,0.09523809523809523,0.7857142857142857,0.09523809523809523,0.11904761904761904,1,0,0,0.4782608695652174,0.15942028985507245,0.30434782608695654,0.057971014492753624,0.4925373134328358,0.31343283582089554,0.19402985074626866,0.49019607843137253,0.29411764705882354,0.21568627450980393,0.2,0.18181818181818182,0.23636363636363636,0.16363636363636364,0.21818181818181817,0.01818181818181818,0.7413793103448276,0.1896551724137931,0.06896551724137931,0.7931034482758621,0.1724137931034483,0.034482758620689655,0.7758620689655172,0.1724137931034483,0.05172413793103448,0.625,0.14583333333333334,0.22916666666666666,1,0,0,0.9402985074626866,0.014925373134328358,0.04477611940298507,0.9420289855072463,0,0.057971014492753624,0.6811594202898551,0.2028985507246377,0.11594202898550725,0.3283582089552239,0.417910447761194,0.2537313432835821
103,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,,,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,,(Porcentajes calculados en base a la cantidad de votos emitidos),,
